"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"MSB155117_Zluteus",4.07825548059664,0.358396745300698,-4.86902825732962,4.5510866392555,-0.806005386678724,-2.44476839971801,-6.38218825184133,0.599533988648576,0.448189161713035,-0.0025675055855599,-0.642458442250298,0.515921768270454,-0.162539040086167,-0.299813789415729,-0.201472334294787,-1.36945222448003,0.23608490261477,0.365616755726889,-3.07489529081216,2.96554809920277,-0.377511296392618,1.80517621487692,-0.291100765491941,-0.627929980063727,-1.19782742905227,-0.597828498250631,-0.401431728939901,-0.258526503977732,-0.90294908609477,0.130682149143553
"MSB325321_Zluteus",3.86248755734577,0.686757887287719,-4.56304645279777,4.86520688261994,-0.8856788265979,-1.85623043699957,-5.43241761358936,0.811867363561617,-0.0324425539511018,-0.459186197808382,-0.0291369762452082,-0.295069776122941,0.814792679817924,0.321290216788164,0.586022190957039,2.77124604000081,-0.272728176904295,-0.863897410407921,2.42052542082773,-4.94617288093458,1.03097235954905,-1.95117052701197,0.0694282938736007,-2.8227341801533,-1.84916096094231,-1.50225562278232,1.30873989725728,-1.29983089391002,-1.45107290517658,0.250308974949686
"FT353_Zluteus",3.82588085613879,-0.601792498933845,-4.73980853336172,4.92832179175522,0.261308373545393,0.917569889081864,3.54279305985361,-0.23575826369162,-0.107272236325473,0.14257619464419,-0.452670315643493,0.594676376900291,0.0377073173756124,0.161487839972794,-0.0593727857372345,0.145655114647159,2.66665976048252,-1.62429529953221,6.3654911775941,4.56352587399054,-0.818974521054286,-0.970224114134433,-1.00291821741662,-0.33114062078713,-0.974595787374961,0.0413297185735521,0.257884204787799,-0.0357859403699028,0.41978611491584,0.410416566848945
"FT357_Zluteus",3.3718895035292,-0.535036990542561,-4.05960529168585,4.92855631673776,0.590317366162824,1.35088321048813,4.38263978057194,-0.343228205387724,0.13989873778493,-0.136238918555462,0.0784101657266693,-0.120167147733886,0.460871041367205,-0.0268404832372894,0.381912818782187,-0.138054278195125,1.2196097700066,0.782346830449495,1.38421779029898,-2.34479982819287,1.24931545022873,5.98222408427203,3.69466737293679,-0.251082102147494,0.236235466485924,-0.477991823133437,-1.64512287819595,-0.404348124822209,0.554121503854887,-0.45197974714611
"MSB324205_Zluteus",3.64757790063663,-0.560298114558315,-4.53352486856762,4.61308906334513,0.334145916693515,2.06743805731766,4.31552482827943,-0.0485074498103083,-0.0028512537292629,-0.545893506517477,0.0537101482036342,0.400180468852587,0.126108814698986,-0.252255410888089,-0.370289894292572,-1.62546229709881,-0.477013695862741,-3.51716983864695,-1.65420599638875,-2.85686241682852,-5.82391220297321,0.0907515830962946,-1.93301616738269,-0.843641143397944,1.31609958066064,0.537215898105317,-0.664009156578472,0.882988957936492,-0.831810178328954,0.516157353578637
"MSB56984_Zluteus",3.76377051118831,-0.470543287553621,-4.94657273289164,4.65827617765649,0.526421086119696,0.770173258149428,3.61700724569957,-0.459732052924425,-0.594439836505208,-0.64572002065179,0.165498668785127,0.341322272522808,0.345185893123706,-0.256859645167836,-0.305351824265284,-5.67766641919354,-0.303829606352002,5.0387058439319,0.00841028514093533,-1.46329488680907,0.631346672708644,-2.28115609646,-0.609461311377549,2.12293370390129,-1.41131560705848,-1.25176996609684,1.35293673414303,-0.506227722947509,-0.730932199093783,-0.456518936736217
"MSB213790_Zluteus",0.833985615425371,-8.21428850125683,4.29716968691826,-0.587798387813469,7.40523886205651,-0.731272332007197,-0.868616878780762,0.373009081047966,-0.0380625560335217,0.137190623329147,-0.125826721214629,-0.190216152116333,0.114008711641901,0.126396532483535,0.0461917441013676,0.0913443442222946,0.0606941810478513,0.160208220016383,-0.180955851360557,-0.114734242953721,0.115155522007081,0.251263878607556,0.208145410603779,0.084143234256157,-0.00850920280276214,-0.356815788539395,0.00743351503959042,0.276921700718637,0.427359303482361,-0.144304680836486
"MSB213792_Zluteus",0.711469146620303,-8.15524034376612,4.19692577865223,-0.556602195666666,7.2251886964999,-0.554252472210657,-0.588596049565546,0.107862341671236,0.0530678780964677,0.00653799885394183,-0.0797700312345213,0.184729865006036,0.0230829359758627,0.202498317464861,0.111414267907091,0.151873961470946,-0.216915101551415,0.0724808681495962,-0.0808101784611244,-0.134276539993717,-0.125671648268077,0.0631674478449081,0.112266497140274,0.411225265250771,-0.134381003679643,0.344298729349035,0.212938519959434,0.113523018412822,-0.155355637340667,0.0386503975016043
"MSB58368_Zluteus",1.13103391841661,-8.12475514944728,4.12160917011318,-0.293853275467439,7.14022658910245,-0.474603159295192,-0.815755130219029,-0.0771712065677059,-0.222765900228534,-0.0732552397463612,0.0451603787116334,-0.0870251457262701,0.331660913159996,-0.158716626539307,-0.333389066131923,-0.146163317316827,-0.263708209329504,0.103012287822324,-0.0398714944557819,0.445624237372435,-0.469229089374637,-0.48466309781836,0.0930570820345828,-0.334824977719107,0.246779536034571,-0.212780898623313,-0.391097184837679,0.45827708084065,-0.152915683996438,0.317208097158454
"MSB213791_Zluteus",0.98455711129432,-8.2727080912008,4.39557065552634,-0.33542518596696,7.17486042269493,-0.728876771789084,-0.770770866084953,0.424069536794082,-0.143622459373997,0.389353071395891,-0.108366684034815,0.316255200843625,-0.0368992195564908,0.229645605503556,0.0245853413450806,0.221209503170315,0.346284079253175,-0.267921523575411,0.330873946519925,-0.252107378880226,0.167637616809859,0.00958586786985403,-0.334221975608874,0.00339800066937206,-0.23858571674493,0.240382802695742,0.154622309625239,-0.502830904929068,-0.197306928950329,-0.116701458943216
"MSB41226_Zluteus",0.471688110155597,-9.68827829137262,4.56351812784147,-0.84907077261155,-6.5016788463765,0.55509417698565,0.0672243085786513,-0.429552700729684,0.197359797544253,-0.0326095353464579,-0.316313174427243,0.400270234313379,-0.0296769794730836,0.0512572711489932,0.267480578575528,0.0164609245895588,0.27006857801021,-0.277634755894362,0.358316769356927,0.36219999518373,0.163614766046146,0.138974992655325,-0.127515154849205,0.653014042408781,0.451849539341284,0.515097509914915,-0.350805235751027,-2.30344977768303,-1.21691776204108,-0.420416675030952
"MSB41228_Zluteus",0.161179288437488,-8.93474595167284,3.71040312213576,-0.763492947177531,-6.64550663570729,0.890090490451172,0.238738155566599,0.165272235540586,0.0511342441688747,-0.528103941790609,-0.0938232270829383,-0.190053922258093,0.415031388910827,-0.136924948376384,0.0567489924962204,0.618889627295944,0.0629323699162096,0.475091888734909,-0.401025981272544,-0.285668206144144,-0.424805076312152,-0.173264259174264,0.894587545471312,-0.522486985405442,-2.3503345514881,-2.24673059109656,0.782198989763781,5.25672260473888,2.32276080639226,0.927593428967426
"MSB41235_Zluteus",0.345190031847265,-9.61078985655511,4.42639600522496,-1.02905057561275,-6.61888135580935,0.816560242266297,0.214817336241308,-0.358540309979859,0.0300074820708044,-0.249777561791906,-0.0456581619879336,0.125297161069203,0.20849674237544,0.104446360027917,-0.110069692247585,-0.269301661664947,-0.33004286442802,-0.118032436602196,-0.457136602954672,-0.102724383414505,-0.441346340210974,-0.948514163637464,-0.67668749793832,-0.878746273094029,1.25302114127306,-0.725928125356773,-0.871956027234938,-2.2224299326526,2.01336927713643,-3.0669901189962
"MSB41230_Zluteus",0.0565286058027592,-9.73143953063054,4.48360336477524,-0.846026491052209,-6.61805085184462,0.950590408451412,0.191559253498885,-0.10307714220224,0.174632458982243,0.129768506526997,-0.241779661804002,0.245878176330307,0.264780635831903,0.385349783928069,-0.0697773147684333,-0.337257272347847,0.491869727645248,-0.0413188449781864,0.225828082305198,-0.109573087937895,1.00038726204818,0.866819221849867,-0.196960919054928,0.876806969370113,0.530287054537481,2.09057087341411,0.526514694065557,-0.648648476891158,-2.9173425923746,2.60152071359834
"MSB41064_Zluteus",2.02024132532192,8.52245331516813,10.4076971442011,4.17164061490351,-0.306383913089819,-0.38927244112888,0.00399505512948727,-0.232089373878675,-0.0839209923747753,-0.0281633222658203,-0.14351915698783,-0.281984874840067,0.164978716780922,0.371512818528959,-0.135931746343101,-0.121032481451867,0.00149262194432279,-0.142410806966568,0.402375507574788,-0.315082601035437,0.484149387793818,-0.237156842066131,-1.23911024253282,0.140251289869636,0.130389591533274,0.232047814048463,-0.450583969890216,0.715843075667066,-0.055320380199061,0.429516050193984
"MSB41060_Zluteus",1.77906855103101,8.7710276703992,10.3723635434685,4.30714492341115,-0.165578933794308,0.0605070369924171,0.373999595278239,0.103801769254245,0.229153575121281,0.0178157193850264,-0.010126044893303,0.204218237388382,0.100745535714065,-0.0722048066310441,-0.0799177121669123,-0.0487287066061509,0.31423017689594,0.16442519502465,-0.0026626904480138,-0.461058855782516,1.07469128459691,0.789235264532933,-1.69921895413642,-0.440868448902658,-0.69805517589064,0.454103328675145,-0.808884670691044,0.306388453487499,0.362235535230643,-0.835363661298369
"MSB41062_Zluteus",1.89453863765458,8.83556306178199,10.5630182738191,4.20236354697702,-0.406317192208767,-0.0634295997708649,0.374338793094206,0.019335010033538,-0.162739066567302,0.108000437910732,-0.0428521379824149,0.148559256540073,-0.0903431348682271,-0.00254918271925613,-0.130742879805437,-0.271676116101573,0.454276391224621,0.14197688757257,-0.00559864122767931,-0.558713228721472,0.956787476167215,0.777736137137437,-2.4000099037135,0.0482895529501593,-0.437276474177651,0.407837826091316,-0.647548033163036,0.156006141707315,0.434344222418064,-0.548375219868879
"FT358_Zluteus",1.63519992606885,8.43398932728829,9.52133599312832,3.74304951255124,-0.614431217654677,0.0646838905383743,0.289687165796854,0.110018470423055,0.151866744876899,0.0236883531788061,-0.346343971710384,0.432322224455694,0.590224177467357,0.07685688937484,0.146827366966409,0.293045667000785,-0.915531595349183,-0.198713320660406,-0.57999846199934,1.61283315824867,-2.75277239143586,-1.61737195365446,5.56677803402729,0.510031173430648,0.87956784930391,-1.28381814440605,1.9041116777042,-1.25003369155874,-0.691874296194376,1.10708671272938
